file_name,type
CF-422_0.png,clef.c
CF-422_1.png,punctum
CF-422_2.png,oblique2
CF-422_3.png,punctum
CF-422_4.png,punctum
CF-422_5.png,punctum
CF-422_6.png,punctum
CF-422_7.png,punctum
CF-422_8.png,punctum
CF-422_9.png,punctum
CF-422_10.png,punctum
CF-422_11.png,punctum
CF-422_12.png,punctum
CF-422_13.png,punctum
CF-422_14.png,punctum
CF-422_15.png,punctum
CF-422_16.png,punctum
CF-422_17.png,punctum
CF-422_18.png,punctum
CF-422_19.png,punctum
CF-422_20.png,punctum
CF-422_21.png,inclinatum
CF-422_22.png,inclinatum
CF-422_23.png,clef.c
CF-422_24.png,punctum
CF-422_25.png,inclinatum
CF-422_26.png,inclinatum
CF-422_27.png,punctum
CF-422_28.png,custos
CF-422_29.png,clef.c
CF-422_30.png,punctum
CF-422_31.png,punctum
CF-422_32.png,punctum
CF-422_33.png,punctum
CF-422_34.png,punctum
CF-422_35.png,punctum
CF-422_36.png,punctum
CF-422_37.png,punctum
CF-422_38.png,punctum
CF-422_39.png,inclinatum
CF-422_40.png,inclinatum
CF-422_41.png,punctum
CF-422_42.png,punctum
CF-422_43.png,oblique2
CF-422_44.png,punctum
CF-422_45.png,punctum
CF-422_46.png,punctum
CF-422_47.png,punctum
CF-422_48.png,punctum
CF-422_49.png,inclinatum
CF-422_50.png,inclinatum
CF-422_51.png,inclinatum
CF-422_52.png,punctum
CF-422_53.png,inclinatum
CF-422_54.png,inclinatum
CF-422_55.png,punctum
CF-422_56.png,punctum
CF-422_57.png,punctum
CF-422_58.png,punctum
CF-422_59.png,punctum
CF-422_60.png,punctum
CF-422_61.png,inclinatum
CF-422_62.png,inclinatum
CF-422_63.png,punctum
CF-422_64.png,punctum
CF-422_65.png,punctum
CF-422_66.png,punctum
CF-422_67.png,punctum
CF-422_68.png,inclinatum
CF-422_69.png,inclinatum
CF-422_70.png,punctum
CF-422_71.png,custos
CF-422_72.png,clef.c
CF-422_73.png,punctum
CF-422_74.png,punctum
CF-422_75.png,custos
CF-422_76.png,clef.c
CF-422_77.png,clef.c
CF-422_78.png,punctum
CF-422_79.png,punctum
CF-422_80.png,punctum
CF-422_81.png,inclinatum
CF-422_82.png,inclinatum
CF-422_83.png,punctum
CF-422_84.png,punctum
CF-422_85.png,punctum
CF-422_86.png,punctum
CF-422_87.png,punctum
CF-422_88.png,punctum
CF-422_89.png,punctum
CF-422_90.png,punctum
CF-422_91.png,punctum
CF-422_92.png,punctum
CF-422_93.png,punctum
CF-422_94.png,punctum
CF-422_95.png,punctum
CF-422_96.png,punctum
CF-422_97.png,punctum
CF-422_98.png,custos
CF-422_99.png,clef.c
CF-422_100.png,punctum
CF-422_101.png,punctum
CF-422_102.png,punctum
CF-422_103.png,punctum
CF-422_104.png,punctum
CF-422_105.png,punctum
CF-422_106.png,punctum
CF-422_107.png,punctum
CF-422_108.png,punctum
CF-422_109.png,punctum
CF-422_110.png,punctum
CF-422_111.png,punctum
CF-422_112.png,punctum
CF-422_113.png,punctum
CF-422_114.png,punctum
CF-422_115.png,punctum
CF-422_116.png,punctum
CF-422_117.png,punctum
CF-422_118.png,punctum
CF-422_119.png,punctum
CF-422_120.png,punctum
CF-422_121.png,punctum
CF-422_122.png,punctum
CF-422_123.png,punctum
CF-422_124.png,punctum
CF-422_125.png,punctum
CF-422_126.png,punctum
CF-422_127.png,punctum
CF-422_128.png,custos
CF-422_129.png,clef.c
CF-422_130.png,punctum
CF-422_131.png,punctum
CF-422_132.png,punctum
CF-422_133.png,punctum
CF-422_134.png,punctum
CF-422_135.png,punctum
CF-422_136.png,punctum
CF-422_137.png,punctum
CF-422_138.png,oblique2
CF-422_139.png,punctum
CF-422_140.png,punctum
CF-422_141.png,punctum
CF-422_142.png,punctum
CF-422_143.png,punctum
CF-422_144.png,punctum
CF-422_145.png,punctum
CF-422_146.png,punctum
CF-422_147.png,punctum
CF-422_148.png,punctum
CF-422_149.png,punctum
CF-422_150.png,punctum
CF-422_151.png,punctum
CF-422_152.png,punctum
CF-422_153.png,punctum
CF-422_154.png,oblique2
CF-422_155.png,punctum
CF-422_156.png,punctum
CF-422_157.png,inclinatum
CF-422_158.png,inclinatum
CF-422_159.png,punctum
CF-422_160.png,punctum
CF-422_161.png,punctum
CF-422_162.png,custos
CF-422_163.png,clef.c
CF-422_164.png,punctum
CF-422_165.png,punctum
CF-422_166.png,punctum
CF-422_167.png,oblique2
CF-422_168.png,punctum
CF-422_169.png,punctum
CF-422_170.png,punctum
CF-422_171.png,punctum
CF-422_172.png,punctum
CF-422_173.png,punctum
CF-422_174.png,punctum
CF-422_175.png,punctum
CF-422_176.png,punctum
CF-422_177.png,punctum
CF-422_178.png,punctum
CF-422_179.png,punctum
CF-422_180.png,punctum
CF-422_181.png,punctum
CF-422_182.png,punctum
CF-422_183.png,punctum
CF-422_184.png,custos
CF-422_185.png,clef.c
CF-422_186.png,punctum
CF-422_187.png,punctum
CF-422_188.png,punctum
CF-422_189.png,punctum
CF-422_190.png,punctum
CF-422_191.png,punctum
CF-422_192.png,punctum
CF-422_193.png,punctum
CF-422_194.png,punctum
CF-422_195.png,punctum
CF-422_196.png,punctum
CF-422_197.png,punctum
CF-422_198.png,punctum
CF-422_199.png,oblique2
CF-422_200.png,punctum
CF-422_201.png,punctum
CF-422_202.png,punctum
CF-422_203.png,punctum
CF-422_204.png,punctum
CF-422_205.png,punctum
CF-422_206.png,punctum
CF-422_207.png,custos
CF-422_208.png,clef.c
CF-422_209.png,punctum
CF-422_210.png,punctum
CF-422_211.png,punctum
CF-422_212.png,punctum
CF-422_213.png,punctum
CF-422_214.png,punctum
CF-422_215.png,punctum
CF-422_216.png,punctum
CF-422_217.png,punctum
CF-422_218.png,clef.c
CF-422_219.png,punctum
CF-422_220.png,punctum
CF-422_221.png,punctum
CF-422_222.png,punctum
CF-422_223.png,punctum
CF-422_224.png,punctum
CF-422_225.png,punctum
CF-422_226.png,punctum
